Investment,Location,CompetitionLevel,TargetCustomers,MonthlyRent,MarketingBudget,BusinessOutcome
311223,Visakhapatnam,8,174,22491,48234,Loss
675745,Delhi,5,535,19820,19977,Medium
341504,Delhi,9,891,31167,8077,Loss
707332,Indore,3,125,42954,49549,Medium
575969,Visakhapatnam,7,118,13388,48943,Loss
655451,Jaipur,10,176,5034,25414,Loss
449075,Lucknow,2,586,23004,46012,Profitable
353326,Bhopal,10,176,38219,8560,Loss
786833,Hyderabad,6,66,10618,38411,Loss
525282,Kolkata,1,250,14730,9412,Medium
976330,Kolkata,7,750,48678,33594,Medium
203323,Hyderabad,5,840,12382,34269,Medium
467879,Indore,5,686,6536,27227,Medium
297195,Hyderabad,8,299,41226,34152,Loss
601392,Delhi,10,390,47978,24151,Loss
909226,Ahmedabad,6,515,16499,4528,Loss
843065,Chennai,9,115,19372,32422,Loss
540251,Coimbatore,1,143,26056,33442,Medium
425553,Bhopal,6,380,31495,2709,Loss
562376,Coimbatore,1,228,35914,19193,Medium
694357,Bhopal,4,829,46761,18828,Medium
453708,Coimbatore,1,867,41547,2814,Profitable
657518,Indore,7,75,42808,11530,Loss
587080,Hyderabad,3,586,43022,25781,Medium
726760,Delhi,7,726,24378,38936,Medium
592524,Chandigarh,1,589,31183,21283,Profitable
986263,Kolkata,6,931,12773,42671,Profitable
684764,Ahmedabad,9,173,31608,8280,Loss
188183,Jaipur,4,715,18131,4126,Loss
276506,Ahmedabad,6,569,45943,40234,Loss
109545,Pune,10,55,47580,35738,Loss
896145,Coimbatore,1,398,47718,17397,Profitable
483721,Delhi,9,174,15401,46580,Loss
227736,Ahmedabad,4,950,42527,35658,Medium
481896,Pune,5,80,41708,35946,Loss
280337,Visakhapatnam,9,787,22840,8381,Loss
524342,Hyderabad,2,265,28259,33934,Medium
177197,Mumbai,6,159,40699,28024,Loss
574883,Pune,10,199,12763,7040,Loss
350390,Chandigarh,9,193,8358,34125,Loss
873793,Visakhapatnam,10,501,26873,18221,Loss
353382,Bhopal,9,255,32430,36426,Loss
224005,Bhopal,3,575,35810,31535,Loss
679398,Kolkata,5,240,28801,31976,Loss
578903,Chennai,9,198,17253,30783,Loss
146030,Bangalore,7,942,34107,26685,Loss
290343,Jaipur,8,751,43304,27994,Loss
400352,Indore,2,434,6187,35843,Medium
508683,Chennai,6,117,45366,23494,Loss
793155,Coimbatore,5,672,20591,37639,Profitable
320004,Lucknow,1,226,27112,49488,Medium
705158,Delhi,1,163,12251,25983,Profitable
556293,Chennai,8,891,24187,39838,Medium
125378,Lucknow,1,88,7008,28997,Loss
429845,Kolkata,5,132,8342,28191,Loss
653211,Chandigarh,5,173,16200,22234,Loss
836310,Delhi,2,574,9137,30058,Profitable
373897,Visakhapatnam,8,292,9986,39752,Loss
585067,Jaipur,7,139,21934,28593,Loss
458502,Kolkata,5,680,9173,30397,Medium
340016,Chennai,9,56,47899,36248,Loss
721092,Delhi,6,62,39845,18787,Loss
140498,Ahmedabad,6,254,47204,47983,Loss
527198,Delhi,10,619,6382,43424,Loss
773875,Hyderabad,10,232,46036,24836,Loss
876046,Coimbatore,5,278,29572,4004,Loss
460045,Chennai,3,111,40490,19184,Loss
597888,Chandigarh,10,738,36074,33604,Loss
921129,Bangalore,9,983,44053,14097,Loss
711322,Coimbatore,8,918,44896,44904,Medium
589617,Lucknow,9,403,36378,35365,Loss
912577,Hyderabad,7,109,25984,13409,Loss
189882,Bhopal,3,73,8143,7833,Loss
292032,Kolkata,2,243,19413,5236,Loss
241522,Coimbatore,7,555,24361,25330,Loss
236093,Hyderabad,2,215,14683,3276,Loss
817070,Chennai,2,779,25856,37931,Profitable
911209,Kolkata,9,491,22593,34775,Loss
942222,Delhi,8,738,30059,10190,Loss
127649,Lucknow,3,907,17937,14534,Medium
360821,Chennai,6,283,31974,31532,Loss
568383,Coimbatore,3,338,28302,33905,Medium
928860,Pune,4,660,29957,35782,Profitable
817282,Mumbai,10,380,10714,22346,Loss
883718,Pune,9,977,47315,41941,Medium
914167,Hyderabad,9,599,36164,37173,Loss
975003,Pune,2,332,24876,44827,Profitable
808187,Coimbatore,5,205,21898,36049,Medium
282182,Bhopal,4,659,41284,12836,Loss
855646,Kolkata,3,557,43708,49759,Profitable
587424,Chandigarh,6,613,12859,20812,Loss
762425,Bangalore,2,161,6484,11247,Medium
231627,Lucknow,10,529,39131,24140,Loss
132655,Bhopal,8,72,34638,37865,Loss
828096,Delhi,3,401,45172,21546,Medium
269900,Chandigarh,4,718,28668,40198,Medium
121939,Pune,3,223,26964,46915,Loss
879477,Indore,7,793,21806,49291,Profitable
786123,Kolkata,10,900,6511,32867,Loss
504490,Lucknow,7,390,10216,35327,Loss
460235,Visakhapatnam,2,347,29997,27031,Medium
896101,Mumbai,4,482,8770,40708,Profitable
299318,Kolkata,1,879,40309,23236,Profitable
482451,Coimbatore,9,661,48911,5350,Loss
523215,Jaipur,9,50,42129,31976,Loss
205488,Visakhapatnam,4,678,38390,15028,Loss
999137,Jaipur,7,171,6036,23360,Loss
531027,Coimbatore,8,542,36749,43118,Loss
816606,Delhi,6,742,32698,23049,Medium
233667,Bhopal,3,897,28925,38135,Profitable
701904,Chandigarh,4,682,25482,32678,Profitable
619051,Chennai,6,891,15407,38185,Profitable
561087,Ahmedabad,7,150,9001,32647,Loss
673962,Bhopal,4,832,34526,4036,Medium
558850,Ahmedabad,6,127,42057,42010,Loss
553123,Chennai,8,796,18579,8973,Loss
373999,Coimbatore,4,678,17567,36541,Medium
119894,Lucknow,4,694,26096,11800,Loss
616292,Mumbai,2,910,15248,49008,Profitable
405659,Jaipur,3,328,14572,19154,Loss
901816,Kolkata,10,119,40960,6917,Loss
391912,Bhopal,5,553,25460,2475,Loss
536589,Chennai,6,512,9106,3973,Loss
237806,Hyderabad,7,570,10218,20739,Loss
113954,Bhopal,8,398,47671,22113,Loss
448046,Coimbatore,7,927,25501,20165,Loss
500672,Kolkata,9,806,21622,34615,Loss
681496,Chandigarh,7,495,16651,44986,Loss
767346,Hyderabad,6,939,21904,31562,Profitable
786576,Chennai,2,581,35213,31875,Profitable
454839,Pune,2,240,16846,49044,Medium
874615,Bangalore,7,229,39451,28662,Loss
491843,Bhopal,3,824,48096,32630,Profitable
340680,Bangalore,2,846,24815,27048,Profitable
826351,Chennai,1,662,13465,11241,Profitable
482653,Pune,6,606,7816,8558,Loss
147633,Jaipur,5,906,8846,27243,Medium
680612,Chennai,7,632,48999,5249,Loss
768409,Ahmedabad,1,194,38426,32662,Profitable
788870,Bangalore,10,559,30632,10034,Loss
909907,Bangalore,7,947,9029,47327,Profitable
986544,Chennai,2,591,34458,46656,Profitable
426869,Hyderabad,6,148,33684,11814,Loss
252533,Kolkata,4,610,16181,29276,Loss
858740,Chennai,10,307,48655,27616,Loss
258068,Lucknow,7,253,27980,45145,Loss
206412,Kolkata,7,147,17593,37275,Loss
861230,Coimbatore,10,213,31584,30694,Loss
306805,Visakhapatnam,1,506,48740,9448,Medium
385695,Mumbai,1,820,7125,19414,Profitable
742992,Bangalore,10,519,39562,44363,Loss
150538,Pune,5,450,21051,6619,Loss
113249,Bhopal,1,629,14297,13402,Medium
744624,Mumbai,8,498,8079,6213,Loss
758440,Indore,4,182,23607,29334,Medium
660606,Jaipur,1,792,24668,38968,Profitable
925028,Chandigarh,10,728,37567,36316,Loss
185906,Chennai,10,689,48631,5021,Loss
127643,Bhopal,7,79,45690,11450,Loss
786571,Hyderabad,4,646,29967,42835,Profitable
307393,Visakhapatnam,8,206,19825,7842,Loss
295051,Pune,10,499,24765,16661,Loss
886082,Mumbai,5,397,38305,2018,Loss
661017,Hyderabad,8,887,23944,2494,Loss
569563,Hyderabad,6,131,36383,45445,Loss
829049,Ahmedabad,5,142,11714,5603,Loss
559382,Kolkata,3,187,17966,45484,Medium
503472,Lucknow,7,352,13957,10401,Loss
481382,Indore,6,240,47450,11376,Loss
551040,Bhopal,3,620,38863,16861,Medium
699239,Mumbai,8,123,47793,24279,Loss
121169,Ahmedabad,3,459,8338,13502,Loss
882298,Kolkata,10,741,20930,7250,Loss
468823,Ahmedabad,1,424,5185,13654,Medium
745921,Kolkata,7,375,43408,45438,Loss
358117,Visakhapatnam,3,414,44610,41143,Medium
571574,Lucknow,10,989,37485,39498,Loss
502307,Delhi,4,207,17086,20681,Loss
602609,Chandigarh,6,328,34449,46906,Loss
189956,Pune,5,347,14121,27012,Loss
922517,Ahmedabad,10,826,36214,26709,Loss
110050,Pune,2,904,9389,29804,Profitable
353746,Pune,5,753,37089,32095,Loss
743562,Indore,4,151,49140,38596,Loss
750684,Ahmedabad,1,490,49313,29530,Profitable
905128,Chennai,2,373,39016,23546,Profitable
207585,Bangalore,10,292,44171,22147,Loss
904545,Bhopal,5,656,30290,29035,Profitable
374900,Bangalore,1,111,43871,42753,Medium
541656,Chennai,4,696,6298,6922,Medium
642545,Kolkata,9,890,43139,39345,Loss
751076,Indore,6,87,22962,40275,Loss
792701,Jaipur,10,417,28622,10134,Loss
988583,Mumbai,9,86,45366,41241,Loss
960532,Mumbai,4,673,48970,17189,Profitable
142426,Jaipur,9,105,15905,22403,Loss
609917,Coimbatore,1,313,21979,34451,Profitable
184448,Chandigarh,8,736,27715,20917,Loss
458492,Visakhapatnam,4,319,8133,21596,Loss
926592,Bhopal,9,608,29276,34008,Loss
358928,Lucknow,5,445,15410,4568,Loss
459997,Visakhapatnam,6,754,33871,48186,Medium
257289,Hyderabad,7,558,42046,24259,Loss
313735,Coimbatore,7,51,30199,47475,Loss
166211,Indore,2,514,33702,8144,Loss
959099,Bangalore,2,698,21738,7253,Profitable
403305,Chandigarh,2,465,23839,40858,Medium
603196,Hyderabad,1,581,42721,47989,Profitable
635251,Mumbai,10,337,21285,9383,Loss
392000,Kolkata,3,339,15552,21900,Loss
505224,Bhopal,10,777,21343,25618,Loss
969162,Lucknow,1,347,5535,20997,Profitable
243907,Indore,3,174,23259,46862,Loss
383761,Indore,8,422,27431,21615,Loss
326691,Indore,8,971,42673,37757,Loss
298634,Kolkata,8,166,23399,26785,Loss
559170,Hyderabad,10,856,29771,3157,Loss
393517,Chennai,1,515,46637,14163,Medium
920194,Lucknow,9,844,14102,38769,Medium
814754,Pune,8,867,43064,7997,Loss
228518,Ahmedabad,8,489,25557,23714,Loss
466764,Chandigarh,3,443,5308,10818,Medium
361035,Coimbatore,8,667,23298,42470,Loss
102827,Bangalore,2,333,20506,9606,Loss
952402,Coimbatore,6,316,25677,42011,Medium
706390,Ahmedabad,9,940,25586,24444,Loss
651095,Indore,2,89,15984,46137,Medium
422795,Kolkata,7,105,32720,28476,Loss
942208,Chandigarh,4,185,28856,13300,Medium
852819,Kolkata,5,641,8733,32420,Profitable
444113,Ahmedabad,6,268,34299,14710,Loss
524785,Coimbatore,1,64,18201,37234,Medium
587979,Chennai,3,734,30317,10997,Medium
641135,Coimbatore,2,573,24469,12139,Profitable
916256,Coimbatore,1,244,23357,36337,Profitable
218187,Ahmedabad,4,358,17900,30081,Loss
824827,Mumbai,10,378,43047,38926,Loss
889939,Mumbai,8,267,34500,40789,Loss
276060,Mumbai,5,927,10480,35338,Medium
746906,Delhi,4,97,24420,3032,Loss
654598,Bhopal,1,101,22574,8960,Medium
653502,Bhopal,8,826,39306,19880,Loss
956870,Chennai,6,228,31074,26812,Loss
625486,Indore,5,282,18508,41620,Loss
833826,Jaipur,4,968,44089,9784,Profitable
753051,Coimbatore,6,763,25911,9804,Medium
410058,Pune,10,975,13793,8879,Loss
217720,Chennai,10,810,44809,18514,Loss
987114,Visakhapatnam,10,756,26881,43365,Medium
811105,Jaipur,4,265,7772,39021,Medium
729931,Bhopal,10,965,8862,45811,Medium
970654,Delhi,3,177,22913,8936,Medium
268759,Indore,3,125,5705,34648,Loss
559079,Chennai,1,812,15471,7582,Profitable
837279,Lucknow,10,703,18146,38476,Loss
706454,Ahmedabad,6,698,21621,46735,Medium
865873,Delhi,9,284,17400,24481,Loss
438088,Mumbai,2,283,18930,28522,Medium
830832,Pune,8,935,10202,42188,Profitable
953756,Visakhapatnam,2,297,40575,26673,Profitable
788638,Hyderabad,3,310,47261,17319,Medium
769403,Hyderabad,2,345,39309,39522,Profitable
595097,Hyderabad,6,251,46908,18796,Loss
793711,Delhi,6,334,28612,43411,Medium
854917,Lucknow,1,775,47056,28520,Profitable
747202,Jaipur,7,258,20215,26400,Loss
574174,Chennai,6,923,23777,13849,Medium
139449,Chandigarh,4,531,32031,24168,Loss
213832,Chennai,3,809,45744,4955,Loss
340269,Bangalore,5,172,44624,24589,Loss
441260,Visakhapatnam,7,248,36102,32740,Loss
394614,Chandigarh,2,725,31377,26503,Profitable
241378,Pune,8,519,45744,46201,Loss
895154,Jaipur,7,141,40749,42873,Loss
599535,Chandigarh,9,815,42115,46619,Loss
457320,Bangalore,7,79,18213,26541,Loss
348021,Kolkata,9,545,28389,15934,Loss
369953,Jaipur,5,381,12756,32335,Loss
117855,Jaipur,1,562,33944,15633,Medium
621076,Mumbai,2,279,43537,18184,Medium
223398,Chennai,7,647,15524,30400,Loss
266645,Bhopal,3,256,22871,33212,Loss
759997,Visakhapatnam,9,468,46391,38115,Loss
771811,Chandigarh,9,538,5611,26127,Loss
242273,Ahmedabad,7,582,20771,48627,Loss
150719,Bangalore,1,286,29985,9803,Loss
499460,Visakhapatnam,7,426,28604,33251,Loss
239400,Bangalore,1,101,24837,21617,Loss
421614,Lucknow,3,839,18938,44929,Profitable
798670,Coimbatore,6,737,41088,35791,Medium
496890,Jaipur,8,454,47311,48386,Loss
802799,Bangalore,4,559,17115,17015,Medium
490339,Delhi,4,121,41446,17254,Loss
785389,Bhopal,2,197,7796,28208,Profitable
155811,Mumbai,2,411,42410,20005,Loss
690136,Delhi,1,350,21053,26437,Profitable
372241,Chandigarh,7,673,34110,15171,Loss
296949,Pune,4,210,31039,21654,Loss
124158,Chennai,2,237,24114,30506,Loss
652184,Indore,9,79,40759,42003,Loss
263859,Mumbai,4,495,43352,6675,Loss
419563,Indore,3,564,25672,29661,Medium
115260,Visakhapatnam,4,957,6188,39136,Medium
879170,Chandigarh,4,972,21352,9437,Profitable
815788,Lucknow,10,169,23096,34229,Loss
647779,Bhopal,1,865,32421,49118,Profitable
154078,Hyderabad,1,719,33905,21458,Medium
948689,Indore,1,155,30315,11261,Profitable
474325,Jaipur,6,148,30066,12037,Loss
376179,Visakhapatnam,6,698,15700,48162,Medium
943938,Lucknow,1,320,15595,42624,Profitable
381409,Bhopal,10,342,13987,16128,Loss
864478,Bangalore,3,747,25551,33065,Profitable
377991,Coimbatore,8,418,40737,4097,Loss
323939,Indore,5,981,33664,40339,Medium
446122,Jaipur,10,607,12899,25515,Loss
502511,Delhi,6,313,19113,11654,Loss
705300,Bhopal,5,775,28116,40635,Profitable
768921,Kolkata,3,646,13082,43152,Profitable
136508,Coimbatore,4,516,25832,10382,Loss
712777,Kolkata,5,910,42244,49638,Profitable
242285,Hyderabad,10,745,44643,4335,Loss
503156,Lucknow,2,710,39177,34485,Profitable
354238,Bangalore,9,550,14713,23090,Loss
333016,Delhi,8,891,11064,49299,Loss
854010,Coimbatore,2,893,23541,44068,Profitable
429048,Jaipur,5,233,32704,5536,Loss
104051,Jaipur,3,358,32478,45273,Loss
421703,Jaipur,2,211,49928,17955,Loss
737489,Kolkata,9,779,22546,20431,Loss
815511,Pune,3,426,27518,30766,Profitable
266063,Pune,6,314,38376,34647,Loss
169995,Hyderabad,3,465,21766,20548,Loss
353125,Ahmedabad,2,842,23194,48628,Profitable
892880,Visakhapatnam,6,258,10647,23333,Loss
496097,Pune,10,282,13346,41172,Loss
886294,Chandigarh,2,157,8656,28047,Profitable
937788,Bhopal,9,902,16572,11571,Medium
541473,Chennai,2,85,43354,42061,Medium
471871,Coimbatore,9,442,43398,27189,Loss
307978,Visakhapatnam,3,309,35773,16858,Loss
339189,Pune,4,55,26748,27854,Loss
959841,Lucknow,2,421,39052,5294,Profitable
366437,Hyderabad,5,832,24766,32738,Medium
122737,Pune,10,71,32000,45605,Loss
801491,Mumbai,5,412,43316,27187,Medium
263658,Coimbatore,10,489,6535,21466,Loss
143480,Hyderabad,6,410,16555,40321,Loss
534993,Indore,4,171,49532,16808,Loss
157191,Chennai,7,627,42338,21681,Loss
639806,Delhi,8,404,45335,36423,Loss
865931,Kolkata,2,375,5118,44159,Profitable
591556,Ahmedabad,3,233,31916,44852,Medium
464564,Delhi,9,466,29534,8945,Loss
823220,Bangalore,6,470,33826,2880,Loss
504993,Pune,4,539,29488,34533,Medium
879006,Indore,2,271,38944,15369,Medium
654611,Coimbatore,10,552,39551,32898,Loss
790946,Bangalore,7,490,18117,18089,Loss
201453,Indore,6,71,15555,6094,Loss
685842,Pune,6,507,25205,25716,Loss
917693,Ahmedabad,8,292,47870,42692,Loss
424117,Pune,1,78,39531,6214,Loss
823790,Pune,3,916,11459,12852,Profitable
453422,Bhopal,2,104,46627,38118,Loss
733232,Visakhapatnam,8,747,24487,6915,Loss
944890,Delhi,5,296,20785,40109,Medium
658712,Jaipur,9,551,13388,37779,Loss
535706,Chandigarh,2,932,23807,10404,Profitable
272990,Mumbai,2,381,21361,40358,Medium
186640,Bangalore,2,229,34556,39080,Loss
328245,Indore,6,666,34137,26476,Loss
366511,Lucknow,10,489,7915,35671,Loss
677233,Jaipur,2,130,7863,48773,Profitable
823525,Hyderabad,10,351,9701,32209,Loss
123098,Delhi,1,911,18698,26021,Profitable
219924,Ahmedabad,5,671,6108,16841,Loss
273306,Kolkata,10,939,41782,4459,Loss
343280,Kolkata,7,326,19435,10306,Loss
916400,Coimbatore,7,599,23688,15175,Loss
934160,Visakhapatnam,4,80,37354,26466,Loss
811068,Coimbatore,9,746,12177,13118,Loss
565591,Ahmedabad,8,791,16584,10021,Loss
981539,Bangalore,7,618,30493,21695,Medium
258649,Bangalore,7,168,48219,48628,Loss
313444,Indore,8,404,34848,47318,Loss
879156,Mumbai,9,459,25482,15611,Loss
990434,Lucknow,4,473,6247,4216,Medium
502966,Jaipur,5,175,21829,46630,Loss
860244,Pune,3,350,43952,18836,Medium
884485,Lucknow,10,893,41732,15148,Loss
362068,Mumbai,3,586,10474,14058,Medium
817290,Bhopal,2,575,6610,12212,Profitable
117088,Jaipur,4,220,48929,13031,Loss
775007,Indore,10,313,13279,7359,Loss
336314,Bangalore,5,145,34145,11651,Loss
438647,Visakhapatnam,9,603,36822,16854,Loss
503060,Lucknow,9,357,16304,17151,Loss
821757,Jaipur,5,439,37711,9553,Loss
520885,Hyderabad,8,719,30019,40065,Loss
110802,Bangalore,2,507,20825,27602,Loss
809934,Delhi,8,326,32738,39841,Loss
855508,Jaipur,10,51,30553,40825,Loss
692726,Bangalore,10,627,6074,25225,Loss
569049,Jaipur,1,252,8608,26750,Medium
315336,Chandigarh,1,153,21613,2084,Loss
583459,Hyderabad,10,481,40484,20229,Loss
278217,Indore,4,326,44112,20215,Loss
928443,Chandigarh,4,734,48677,17023,Profitable
708185,Hyderabad,1,794,44649,5912,Profitable
156900,Visakhapatnam,6,652,25551,22405,Loss
553547,Lucknow,7,805,26203,34325,Medium
128910,Kolkata,7,112,37634,30983,Loss
753406,Bangalore,7,134,49895,29968,Loss
661426,Mumbai,9,886,21082,31530,Loss
227007,Chandigarh,7,358,28267,6896,Loss
235453,Mumbai,3,239,46070,5372,Loss
157498,Jaipur,10,937,30414,25787,Loss
865465,Bhopal,1,753,32162,4723,Profitable
595883,Ahmedabad,5,135,13370,49094,Loss
459046,Indore,6,735,12488,19177,Loss
378158,Ahmedabad,5,908,18474,33593,Medium
551819,Bhopal,8,858,8315,18885,Loss
797727,Kolkata,1,111,13032,2676,Medium
430847,Bhopal,1,218,11072,44469,Medium
442691,Jaipur,4,858,5276,41966,Profitable
585726,Delhi,1,662,14520,5423,Profitable
621300,Jaipur,8,983,7374,11079,Loss
282116,Coimbatore,10,976,44328,8726,Loss
150657,Jaipur,6,973,6859,31148,Medium
990092,Mumbai,6,543,15950,26131,Medium
228884,Lucknow,8,964,15018,26302,Loss
283377,Bangalore,8,325,39558,7544,Loss
641246,Hyderabad,3,55,9489,38757,Medium
263273,Kolkata,6,250,30998,25592,Loss
894162,Bhopal,2,311,48588,42313,Profitable
927737,Ahmedabad,2,745,42251,45426,Profitable
702541,Kolkata,8,756,9693,42554,Medium
510522,Bangalore,7,174,20442,28130,Loss
115618,Kolkata,2,142,26489,4015,Loss
